r,t,y,NewCapacity
RE1,LNDCERLI,2022,0.0
RE1,LNDCERLI,2023,0.0
RE1,LNDCERLI,2024,0.0
RE1,LNDCERLI,2025,0.0
RE1,LNDCERLI,2026,0.0
RE1,LNDCERLI,2027,0.0
RE1,LNDCERLI,2028,0.056
RE1,LNDCERLI,2029,0.3578
RE1,LNDCERLI,2030,0.7257
RE1,LNDCERLI,2031,1.0666
RE1,LNDCERLI,2032,1.3826
RE1,LNDCERLI,2033,1.352
RE1,LNDCERLI,2034,1.4186
RE1,LNDCERLI,2035,1.417
RE1,LNDCERLI,2036,2.1499
RE1,LNDCERLI,2037,2.6403
RE1,LNDCERLI,2038,2.4413
RE1,LNDCERLI,2039,2.7088
RE1,LNDCERLI,2040,2.1345
RE1,LNDCERLI,2041,2.1716
RE1,LNDCERLI,2042,2.0623
RE1,LNDCERLI,2043,2.0057
RE1,LNDCERLI,2044,2.4762
RE1,LNDCERLI,2045,2.3948
RE1,LNDCERLI,2046,2.3549
RE1,LNDCERLI,2047,2.3309
RE1,LNDCERLI,2048,2.3115
RE1,LNDCERLI,2049,2.3967
RE1,LNDCERLI,2050,2.418
RE1,LNDMAIHR,2020,0.0
RE1,LNDMAIHR,2021,0.1381
RE1,LNDMAIHR,2022,0.1326
RE1,LNDMAIHR,2023,0.1273
RE1,LNDMAIHR,2024,0.1619
RE1,LNDMAIHR,2025,0.1524
RE1,LNDMAIHR,2026,0.1607
RE1,LNDMAIHR,2027,0.1501
RE1,LNDMAIHR,2028,0.1547
RE1,LNDMAIHR,2029,0.1564
RE1,LNDMAIHR,2030,0.1553
RE1,LNDMAIHR,2031,0.1518
RE1,LNDMAIHR,2032,0.1462
RE1,LNDMAIHR,2033,0.1388
